volgnr.,id,filename,link,viewer,title,date,description,creator,publisher,physical_width,physical_height,scale,dpi,north,south,east,west,overige,
190,0106050552001,0106050552001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/4243,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/4245/show/4243,"[LL.05413gk], uit: [Palestina] / [Lukas Cranach d. Ä.]",1515,"Annotatie: Onderste deel van de kaart; Van deze kaart is slechts 1 ander (eveneens incompleet) exemplaar bekend (Eran Laor Map Collection, Jeruzalem), waarbij juist het onderste deel van de kaart ontbreekt; Lit.: Cartographica Helvetica, 1991, H. 3, p. 22-27; Print quarterly, vol. 12, no. 2 (1995), p. 123-144","Cranach, Lukas (de Oudere)",[Wittenberg : Lukas Cranach d. Ä.],20,61,850000,300,33.5,29.5,35.666666666667,34.25,,
191,0106050552002,0106050552002.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/4244,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/4245/show/4244,"[bovenste deel], uit: [Palestina] / [Lukas Cranach d. Ä.]",1515,"Annotatie: Onderste deel van de kaart; Van deze kaart is slechts 1 ander (eveneens incompleet) exemplaar bekend (Eran Laor Map Collection, Jeruzalem), waarbij juist het onderste deel van de kaart ontbreekt; Lit.: Cartographica Helvetica, 1991, H. 3, p. 22-27; Print quarterly, vol. 12, no. 2 (1995), p. 123-144","Cranach, Lukas (de Oudere)",[Wittenberg : Lukas Cranach d. Ä.],20,61,850000,300,33.5,29.5,35.666666666667,34.25,,
1530,0106050422001,0106050422001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1019,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1021/show/1019,"[Recto], uit: Descriptio Germaniae Inferioris",1570,"Annotatie: Waarschijnlijk gegraveerd door F. Hogenberg; Uit: Theatrum Orbis Terrarm. - Antwerpen, 1570","Hogenberg, Franz",[Antwerpen : Abraham Ortelius],37,49,1000000,300,54,50,8,3,,
955,0106050553001,0106050553001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1591,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1593/show/1591,"[Recto], uit: Cairos, quae olim Babylon; Aegypti maxima urbs / [Georg Braun & Franz Hogenberg]",1572,"Annotatie: Afkomstig uit een van de tussen 1572 en 1624 verschenen edities van ""Civitatis orbis terrarum","Braun, Georg (1541-1622); Hogenberg, Franz",[Colonia Agrippina : Braun & Hogenberg],33,48,18000,300,32,22,37,25,,
1541,0106050727001,0106050727001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1798,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1800/show/1798,"[Recto], uit: Die stadt Enchuijsen = La ville d'Enchuse situeé en la Comté d'Hollande comme elle se comporte a present / [Luytgen Jans Waeghenaer inventor ; Harman Muller fecit]",1581,"titelvariant: La ville d'Enchuse situeé en la Comté d'Hollande comme elle se comporte a present; Annotatie: Uit: Civitates orbis terrarum, Liber 3 / Georg Braun, Franz Hogenberg. - Colonia Agrippina : s.n., 1581 of latere editie; Oorspr. uitg. 1577; Lit.: Enkhuizen in kaart (catalogus bij de gelijknamige tentoonstelling in het Stedelijk Waagmuseum te Enkhuizen, 1 juni - 1 oktober 1984), p. 7; Tijdschrift van het KNAG, dl. 35 (1918), p. 699; Annotatie geografische gegevens: Rechts: lijst van gebouwen en straten (1-45); lijst van poorten, fortificaties en waterwerken (1-41); West boven","Waghenaer, Lucas Jansz.; Muller, Harman",[S.l. : s.n.],34,43,4000,300,53.25,52.166666666667,5.3333333333333,4.4833333333333,,
915,0106050470001,0106050470001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/1221,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/1223/show/1221,"[Recto], uit: Bergen op Zoom / [Georg Braun & Franz Hogenberg]",1582,"titelvariant: Berga, ad Somam, Brabantiae ...; Annotatie: Titel in cartouche: Berga, ad Somam, Brabantiae; Afkomstig uit: Contrafactur und Beschreibung von den vornembsten Stetten der Welt. - [3. Buch]. - [1582]; Annotatie geografische gegevens: Noordoost boven","Braun, Georg (1541-1622); Hogenberg, Franz",[S.l. : s.n.],34,39,3500,300,51.833333333333,51.166666666667,6.0833333333333,4.1666666666667,,
410,0106050332001,0106050332001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2536,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2536,Abriss der neuen Stadt und Festung Palmae = Nova Palmae civitas,1594,titelvariant: Nova Palmae civitas; Annotatie: Met 6 regels tekst (Latijn en Duits),,[S.l. : s.n.],32,21,8000,300,46.666666666667,45.583333333333,13.75,12.5,,
932,0106051025001,0106051025001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2999,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2999,Britannicarum insularum typus / ex conatibus geographicis Abrah. Ortelius,1595,Annotatie: Oorspr. verschenen in: Theatrum Orbis Terrarum opus nunc denuo ... - [Antwerpen : Abraham Ortelius]; Origineel is Blad 24 in atlas factice; Annotatie geografische gegevens: West boven,"Ortelius, Abraham",[Antwerpen : Arbraham Ortelius],36,49,2500000,300,61,50,2,-8,,
1593,0106051080092,0106051080092.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/3145,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/3145,"Ellas : Graecia, Sophiani / Abrahamo Ortelio descriptore",1597,"titelvariant: Graecia, Sophiani; Hellas; Annotatie: De kaart is uitgegeven in de periode 1597-1624; Cum priuilegio; Origineel is Blad 170 in atlas factice; Annotatie geografische gegevens: 4 schaalstokken: 1000 Stadia, en: 60 Mil. Germ., en: 70 Mil. Gall., en: 240 Mil. Ital",,[S.l. : Abraham Ortelius],,,2500000,300,42,34,27,19,,
1654,0106050211001,0106050211001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2431,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2431,Europae / [Arnoldo di Arnoldi],1600,"Annotatie: De linkerhelft van de kaart ontbreekt; Lit.: Florilegium cartographicum ... - Leipzig : Pfaeler, 1990, p. 117-130","Arnoldi, Arnoldo di",[Siena : Matteo Florimi],36,23,15000000,300,85,35,70,-30,,
2088,0106050744001,0106050744001.tif,http://imagebase.ubvu.vu.nl/cdm/ref/collection/krt/id/2855,http://imagebase.ubvu.vu.nl/cdm/deepzoom/collection/krt/id/2855,"Gorchum anno 1600 / N. Wijdtmans, fe.",1600,,"Wijdtmans, N.",[S.l. : s.n.],45,59,6000,300,52.333333333333,51.583333333333,5.1666666666667,3.75,,
